flag	content
$LINE_SECOND_BATTLE_60_CHAR	$BER
$LINE_SECOND_BATTLE_60_TEXT	Haha, nein.
$LINE_SECOND_BATTLE_70_CHAR	$MCG
$LINE_SECOND_BATTLE_70_TEXT	Wir können sie nicht einfach zurücklassen!
$LINE_SECOND_BATTLE_80_CHAR	$BER
$LINE_SECOND_BATTLE_80_TEXT	Sie HABEN die SEUCHE.
$LINE_SECOND_BATTLE_90_CHAR	$MCG
$LINE_SECOND_BATTLE_90_TEXT	Aber wir beide sind immun, oder nicht?
$LINE_SECOND_BATTLE_100_CHAR	$BER
$LINE_SECOND_BATTLE_100_TEXT	Wir sind nicht dagegen immun, dass sie unsere Gesichter essen, wenn sie sich verwandeln.
$LINE_SECOND_BATTLE_110_CHAR	$MCG
$LINE_SECOND_BATTLE_110_TEXT	Verwandeln?
$LINE_SECOND_BATTLE_120_CHAR	INFIZIERTE KARAWANENWACHE
$LINE_SECOND_BATTLE_120_TEXT	Ohhh. ArrraaAAAAaaggGGGHHHH!
$LINE_SECOND_BATTLE_130_CHAR	$BER
$LINE_SECOND_BATTLE_130_TEXT	So wie hier.
$LINE_SECOND_BATTLE_140_CHAR	$BER
$LINE_SECOND_BATTLE_140_TEXT	Na ja, war nett dich zu kennen.
$LINE_SECOND_BATTLE_150_CHAR	$MCG
$LINE_SECOND_BATTLE_150_TEXT	Warte!
$LINE_SECOND_BATTLE_160_CHAR	$BER
$LINE_SECOND_BATTLE_160_TEXT	...
$LINE_SECOND_BATTLE_170_CHAR	$BER
$LINE_SECOND_BATTLE_170_TEXT	Geht's dir gut?
$SCENE_TALK_BERSERKER_TITLE	Waren plündern
$LINE_TALK_BERSERKER_00_CHAR	$MCG
$LINE_TALK_BERSERKER_00_TEXT	Diese Menschen ... sie haben sich in Monster verwandelt!
$LINE_TALK_BERSERKER_10_CHAR	$BER
$LINE_TALK_BERSERKER_10_TEXT	Du scheinst neu hier zu sein.
$LINE_TALK_BERSERKER_20_CHAR	$BER
$LINE_TALK_BERSERKER_20_TEXT	Das passiert mit den Leuten, die die Seuche nicht überleben.
$LINE_TALK_BERSERKER_30_CHAR	$MCG
$LINE_TALK_BERSERKER_30_TEXT	Wir waren am selben Ort wie zuvor ... diesem Halbaußen-Ort ...
$LINE_TALK_BERSERKER_40_CHAR	$MCG
$LINE_TALK_BERSERKER_40_TEXT	Dieser Ort macht mich wahnsinnig... ich... ich muss hier raus!
$LINE_TALK_BERSERKER_50_CHAR	$BER
$LINE_TALK_BERSERKER_50_TEXT	Ach bitte, seit zehn Jahren versuchen Leute, aus der Grube zu fliehen.
$LINE_TALK_BERSERKER_60_CHAR	$MCG
$LINE_TALK_BERSERKER_60_TEXT	Das hier passiert seit zehn Jahren!?
$LINE_TALK_BERSERKER_70_CHAR	$BER
$LINE_TALK_BERSERKER_70_TEXT	Lass mich raten: du bist aus der Hauptstadt, nicht wahr?
$LINE_TALK_BERSERKER_80_CHAR	$MCG
$LINE_TALK_BERSERKER_80_TEXT	Ich bin die königliche Bibliothekarin ...
$LINE_TALK_BERSERKER_90_CHAR	$BER
$LINE_TALK_BERSERKER_90_TEXT	War ja klar. Seine Majestät der König hält Sachen oft unter Verschluss.
$LINE_TALK_BERSERKER_100_CHAR	$BER
$LINE_TALK_BERSERKER_100_TEXT	Ich wette, du weißt noch nicht mal, dass der Krieg vorbei ist.
$LINE_TALK_BERSERKER_110_CHAR	$MCG
$LINE_TALK_BERSERKER_110_TEXT	Der Krieg ist zu Ende?! Aber die Soldaten ... die ... wohin werden all die Truppen gesandt?
$LINE_TALK_BERSERKER_120_CHAR	$BER
$LINE_TALK_BERSERKER_120_TEXT	Hallo? Seuche, die Menschen in Monster verwandelt? Das braucht verdammt viel zur Eindämmung.
$LINE_TALK_BERSERKER_130_CHAR	$MCG
$LINE_TALK_BERSERKER_130_TEXT	Das ist... Tut mir leid, ich will... Ich will einfach nur ein gutes buch und eine Flasche - nein zwei Flaschen Wein.
$LINE_TALK_BERSERKER_140_CHAR	$BER
$LINE_TALK_BERSERKER_140_TEXT	Hey, sieh's von der positiven Seite - zumindest die Wiedergänger sind weg.
$LINE_TALK_BERSERKER_150_CHAR	$BER
$LINE_TALK_BERSERKER_150_TEXT	Warte, sie sind nicht nur weg, sie sind TOT!
$LINE_TALK_BERSERKER_160_CHAR	$BER
$LINE_TALK_BERSERKER_160_TEXT	Das hat noch niemand geschafft!
$LINE_TALK_BERSERKER_170_CHAR	$MCG
$LINE_TALK_BERSERKER_170_TEXT	Was?
$LINE_TALK_BERSERKER_180_CHAR	$BER
$LINE_TALK_BERSERKER_180_TEXT	Wiederg�nger k�nnen nicht sterben... oder zumindest konnten sie das nicht!
$LINE_TALK_BERSERKER_190_CHAR	$BER
$LINE_TALK_BERSERKER_190_TEXT	Oh Mann! Heute ist mein Glückstag!
$LINE_TALK_BERSERKER_200_CHAR	$BER
$LINE_TALK_BERSERKER_200_TEXT	Ich habe einen neuen BESTEN Freund mit geheimen magischen Fähigkeiten ...
$LINE_TALK_BERSERKER_210_CHAR	$BER
$LINE_TALK_BERSERKER_210_TEXT	UND eine unbewachte Karawane, die vor Reichtümern überquillt, gefunden. Wir sind reich! Reich, sag ich dir!
$LINE_TALK_BERSERKER_220_CHAR	$BER
$LINE_TALK_BERSERKER_220_TEXT	Sind das da etwa Schuhe?
$SCENE_CAUGHT_BY_OZIMAL_TITLE	Gefangen
$LINE_CAUGHT_BY_OZIMAL_00_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_00_TEXT	*$BER, das ist alles Müll ...
$LINE_CAUGHT_BY_OZIMAL_10_CHAR	GROSSER MANN
$LINE_CAUGHT_BY_OZIMAL_10_TEXT	Banditen. Ich hätt's mir denken können.
$LINE_CAUGHT_BY_OZIMAL_20_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_20_TEXT	Wer seid Ihr?
$LINE_CAUGHT_BY_OZIMAL_30_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_30_TEXT	Ich bin Ozimal Kaz, Kriegsherr der Grube, und dieser Tribut gehört mir.
$LINE_CAUGHT_BY_OZIMAL_40_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_40_TEXT	Schaut, ich bin seit gerade erst hier, ich hab keine Ahnung -
$LINE_CAUGHT_BY_OZIMAL_50_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_50_TEXT	Wachen, werft diese wertlosen Diebe ins Kolosseum!
$LINE_CAUGHT_BY_OZIMAL_60_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_60_TEXT	Zeigt ihnen, was mit denen passiert, die Ozimal Kaz bestehlen.
$SCENE_COLISEUM_INTRO_TITLE	Das Kolosseum
$LINE_COLISEUM_INTRO_00_CHAR	$MCG
$LINE_COLISEUM_INTRO_00_TEXT	Das sieht nicht gut aus.
$LINE_COLISEUM_INTRO_10_CHAR	HÄFTLING
$LINE_COLISEUM_INTRO_10_TEXT	Ich vermute, dies ist deine erste Hinrichtung?
$LINE_COLISEUM_INTRO_20_CHAR	$MCG
$LINE_COLISEUM_INTRO_20_TEXT	Hinrichtung?
$LINE_COLISEUM_INTRO_30_CHAR	HÄFTLING
$LINE_COLISEUM_INTRO_30_TEXT	Jop. Jeden Augenblick öffnen sie diese Tore und eine Schar von Monstern wird reinkommen und uns essen.
$LINE_COLISEUM_INTRO_40_CHAR	$MCG
$LINE_COLISEUM_INTRO_40_TEXT	Also werden wir einfach ... sterben?
$LINE_COLISEUM_INTRO_50_CHAR	HÄFTLING
$LINE_COLISEUM_INTRO_50_TEXT	Ja ... Willkommen in der Grube.
$LINE_COLISEUM_INTRO_60_CHAR	HÄFTLING
$LINE_COLISEUM_INTRO_60_TEXT	Weiß nicht, wie's dir geht, Prinzessin, aber ich plane, kämpfend unterzugehen.
$LINE_COLISEUM_INTRO_70_CHAR	$MCG
$LINE_COLISEUM_INTRO_70_TEXT	*Warte! Wenn wir schon sterben, sollten wir zumindest unsere Namen kennen. Ich bin $MCG.
$LINE_COLISEUM_INTRO_80_CHAR	HÄFTLING
$LINE_COLISEUM_INTRO_80_TEXT	Dufte, dich zu treffen. Ich bin ...
$SCENE_COLISEUM_OUTRO_TITLE	Gegen jede Chance
$LINE_COLISEUM_OUTRO_00_CHAR	WACHE
$LINE_COLISEUM_OUTRO_00_TEXT	Herr! Die Wiedergänger sind tot!
$LINE_COLISEUM_OUTRO_10_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_10_TEXT	Unmöglich. Niemand hat zuvor einen Wiedergänger getötet.
$LINE_COLISEUM_OUTRO_20_CHAR	WACHE
$LINE_COLISEUM_OUTRO_20_TEXT	Es ist das neue Mädchen ... Ich weiß nicht, was sie getan hat, aber die Häftlinge sind alle lebendig und die Wiedergänger alle tot.
$LINE_COLISEUM_OUTRO_30_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_30_TEXT	Interessant ...
$LINE_COLISEUM_OUTRO_40_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_40_TEXT	Werft sie in das Gefängnis.
$LINE_COLISEUM_OUTRO_50_CHAR	WACHE
$LINE_COLISEUM_OUTRO_50_TEXT	Ja, Herr!
$LINE_COLISEUM_OUTRO_60_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_60_TEXT	Dann schreib einen Brief an meinen Freund, den Sammler.
$LINE_COLISEUM_OUTRO_70_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_70_TEXT	Berichte ihm, ich habe einen interessanten neuen Gegenstand im Angebot.
$SCENE_OZIMAL_PRISON_TITLE	Hinter Gittern
$LINE_OZIMAL_PRISON_00_CHAR	$RAN
$LINE_OZIMAL_PRISON_00_TEXT	Okay, was hast du getan?
$LINE_OZIMAL_PRISON_10_CHAR	$RAN
$LINE_OZIMAL_PRISON_10_TEXT	Es fühlte sich an als ob ... mein Herz in zwei Richtungen zugleich gezogen würde.
$LINE_OZIMAL_PRISON_20_CHAR	$MCG
$LINE_OZIMAL_PRISON_20_TEXT	Sorry, aber ich weiß es nicht wirklich. Ich weiß nur, dass es funktioniert.
$LINE_OZIMAL_PRISON_30_CHAR	$MCG
$LINE_OZIMAL_PRISON_30_TEXT	Allerdings leben wir! Das ist schon mal was wert, richtig?
$LINE_OZIMAL_PRISON_40_CHAR	$RAN
$LINE_OZIMAL_PRISON_40_TEXT	Lebendig und bald verrückt, wie es scheint. Oh Götter, ich brauch was zu Trinken.
$LINE_OZIMAL_PRISON_50_CHAR	$MCG
$LINE_OZIMAL_PRISON_50_TEXT	Damit wären wir schon mal zwei.
$LINE_OZIMAL_PRISON_60_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_60_TEXT	*Psst! $MCG! Hier drüben!
$LINE_OZIMAL_PRISON_70_CHAR	$MCG
$LINE_OZIMAL_PRISON_70_TEXT	Woher kennt Ihr meinen Namen?
$LINE_OZIMAL_PRISON_80_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_80_TEXT	Die Wache wird bald zurück sein. Ihr müsst zuhören, wenn Ihr es lebendig hier raus schaffen wollt.
$LINE_OZIMAL_PRISON_90_CHAR	$MCG
$LINE_OZIMAL_PRISON_90_TEXT	Wer seid Ihr?
$LINE_OZIMAL_PRISON_100_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_100_TEXT	Ein Freund.
$LINE_OZIMAL_PRISON_110_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_110_TEXT	Hört genau zu: Morgen wird Ozimal Euch an einen Mann in Rot verkaufen. Ich kann das nicht zulassen.
$LINE_OZIMAL_PRISON_120_CHAR	$MCG
$LINE_OZIMAL_PRISON_120_TEXT	...
$LINE_OZIMAL_PRISON_130_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_130_TEXT	Er wird Euch erneut ins Kolosseum schicken, um Eure Fähigkeiten zu demonstrieren.
$LINE_OZIMAL_PRISON_140_CHAR	$MCG
$LINE_OZIMAL_PRISON_140_TEXT	Woher könnt Ihr -
$LINE_OZIMAL_PRISON_150_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_150_TEXT	Wenn das passiert, werde ich für eine Ablenkung sorgen. Ihr müsst dann flüchten.
$LINE_OZIMAL_PRISON_160_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_160_TEXT	Nehmt diesen Kram. Benutzt ihn, um Eure Mithäftlinge zur Hilfe zu bestechen. Ihr müsst morgen bereit sein.
$LINE_OZIMAL_PRISON_170_CHAR	$MCG
$LINE_OZIMAL_PRISON_170_TEXT	Warum helft Ihr mir?
$LINE_OZIMAL_PRISON_180_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_180_TEXT	Momentan ist es sicherer, wenn Ihr das nicht wisst. Sucht mich am Kloster auf. Ich werde dort alles erklären.
$LINE_OZIMAL_PRISON_190_CHAR	$MCG
$LINE_OZIMAL_PRISON_190_TEXT	In Ordnung. Glaube ich.
$LINE_OZIMAL_PRISON_200_CHAR	SELTSAMER FREMDER
$LINE_OZIMAL_PRISON_200_TEXT	*$MCG, Ihr dürft ihm nicht in die Hände fallen.
$SCENE_COLISEUM_2_INTRO_TITLE	Eine kleine Demonstration
$LINE_COLISEUM_2_INTRO_00_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_00_TEXT	Also, mein geehrter Gast, wie läuft's in der Welt da draußen?
$LINE_COLISEUM_2_INTRO_10_CHAR	MANN IN ROT
$LINE_COLISEUM_2_INTRO_10_TEXT	Die Seuche hat das Quaid-Imperium vollständig zerstört. Nichts blieb übrig mit Ausnahme der irren, unmenschlichen Horden Infizierter.
$LINE_COLISEUM_2_INTRO_20_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_20_TEXT	Na, da kann man doch seine Freude dran haben.
$LINE_COLISEUM_2_INTRO_30_CHAR	MANN IN ROT
$LINE_COLISEUM_2_INTRO_30_TEXT	Nun breitet sie sich in das Ash-K�nigreich aus. Wenn nichts unternommen wird, gelingt dieser Krankheit, was die Armeen von Quaid nicht geschafft haben.
$LINE_COLISEUM_2_INTRO_40_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_40_TEXT	Nun, solange panische Ashen ihre Infizierten weiterhin hier ins Exil schicken, bleiben wir F�rsten der Grube im Gesch�ft.
$LINE_COLISEUM_2_INTRO_50_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_50_TEXT	Die Seuchen-Monstrositäten sind ziemlich wertvoll für denjenigen, der sie zu nutzen weiß, nicht wahr?
$LINE_COLISEUM_2_INTRO_60_CHAR	MANN IN ROT
$LINE_COLISEUM_2_INTRO_60_TEXT	Genug geplaudert. Wo ist dieses Mädchen?
$LINE_COLISEUM_2_INTRO_70_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_70_TEXT	Da dr�ben. Ich denke, Ihr werdet ihre F�higkeiten sehr... interessant finden.
$LINE_COLISEUM_2_INTRO_80_CHAR	MANN IN ROT
$LINE_COLISEUM_2_INTRO_80_TEXT	Das werden wir sehen.
$LINE_COLISEUM_2_INTRO_90_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_90_TEXT	Sie begibt sich in eine Trance und ihre Kameraden scheinen im Nichts zu verschwinden.
$LINE_COLISEUM_2_INTRO_100_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_100_TEXT	Um sie herum fallen die Wiedergänger haufenweise, als ob sie durch unsichtbare Schläge erschlagen würden.
$LINE_COLISEUM_2_INTRO_110_CHAR	MANN IN ROT
$LINE_COLISEUM_2_INTRO_110_TEXT	Zeigt es mir!
$LINE_COLISEUM_2_INTRO_120_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_120_TEXT	Wachen, macht die Wiedergänger los!
$SCENE_COLISEUM_2_OUTRO_TITLE	Eine gewagte Flucht
$LINE_COLISEUM_2_OUTRO_00_CHAR	MANN IN ROT
$LINE_COLISEUM_2_OUTRO_00_TEXT	Unglaublich. Sie sieht sie als das, was sie wirklich sind.
$LINE_COLISEUM_2_OUTRO_10_CHAR	MANN IN ROT
$LINE_COLISEUM_2_OUTRO_10_TEXT	Sie bekämpft sie in deren eigener Welt.
$LINE_COLISEUM_2_OUTRO_20_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_20_TEXT	Also, seid Ihr interessiert?
$LINE_COLISEUM_2_OUTRO_30_CHAR	MANN IN ROT
$LINE_COLISEUM_2_OUTRO_30_TEXT	*Erwarte die doppelte Bezahlung.$NNicht oft treffe ich jemand Ebenbürtiges.
$LINE_COLISEUM_2_OUTRO_40_CHAR	MANN IN ROT
$LINE_COLISEUM_2_OUTRO_40_TEXT	Was ist das?
$LINE_COLISEUM_2_OUTRO_50_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_50_TEXT	Wachen!
$LINE_COLISEUM_2_OUTRO_60_CHAR	WACHE
$LINE_COLISEUM_2_OUTRO_60_TEXT	Herr, die Südwand des Kolosseums ist eingestürzt!
$LINE_COLISEUM_2_OUTRO_70_CHAR	WACHE
$LINE_COLISEUM_2_OUTRO_70_TEXT	Die Häftlinge sind geflohen!
$LINE_COLISEUM_2_OUTRO_80_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_80_TEXT	WAS!
$LINE_COLISEUM_2_OUTRO_90_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_90_TEXT	Schickt die Wiedergänger! Jagt sie zugrunde!
$SCENE_RIVER_INTRO_TITLE	Jenseits des Flusses
$LINE_RIVER_INTRO_00_CHAR	$MCG
$LINE_RIVER_INTRO_00_TEXT	Allesamt, hier entlang!
$LINE_RIVER_INTRO_10_CHAR	$RAN
$LINE_RIVER_INTRO_10_TEXT	Das bringt nichts, sie holen auf.
$LINE_RIVER_INTRO_20_CHAR	$MCG
$LINE_RIVER_INTRO_20_TEXT	Schnell, über den Fluss! Wir werden sie an der Furt zurückschlagen!
$LINE_RIVER_INTRO_30_CHAR	$RAN
$LINE_RIVER_INTRO_30_TEXT	Es sind zu viele!
$LINE_RIVER_INTRO_40_CHAR	$BER
$LINE_RIVER_INTRO_40_TEXT	Es gibt nur einen Ausweg ...
$LINE_RIVER_INTRO_50_CHAR	$BER
$LINE_RIVER_INTRO_50_TEXT	Zeit für kranke selbstmörderische Rage!!
$LINE_RIVER_INTRO_60_CHAR	$MCG
$LINE_RIVER_INTRO_60_TEXT	Ich glaube, ich bin auf der richtigen Spur...
$LINE_RIVER_INTRO_70_CHAR	$BER
$LINE_RIVER_INTRO_70_TEXT	So wie, wenn du alles, was sich bewegt, abschlachten und dann durch die herabregnenden Innereien tanzen willst, als w�ren sie Konfetti auf der besten Geburtstagsparty aller Zeiten?
$SCENE_RIVER_OUTRO_TITLE	Auf der Flucht
$NARR_RIVER_OUTRO_00_TEXT	AKT II
$NARR_RIVER_OUTRO_00_SUB_TEXT	*Ich spucke dem Verräter, dem Mörder von Ehre, vor die Füße.$NMöge er im eigenen Blut ertrinken.$NMögen seine Eingeweide im Boden verrotten.$NMöge ewiger Frost seine Knochen bedecken.
$NARR_RIVER_OUTRO_00_SUB_SUB_TEXT	*$N$N$N$N$N– aus dem Amtseid der Quaid
$LINE_RIVER_OUTRO_00_CHAR	$BER
$LINE_RIVER_OUTRO_00_TEXT	Wer ist für Runde zwei bereit?
$LINE_RIVER_OUTRO_10_CHAR	$BER
$LINE_RIVER_OUTRO_10_TEXT	Ich werde eure Gesichter abreißen und eure Schädel als Behälter für DEKORATIVE PFLANZEN BENUTZEN!
$LINE_RIVER_OUTRO_20_CHAR	$MCG
$LINE_RIVER_OUTRO_20_TEXT	*$BER, sie sind alle tot. ...Und au�erdem w�rden alle unsere Zimmerpflanzen nach toten Leuten stinken.
$LINE_RIVER_OUTRO_30_CHAR	$BER
$LINE_RIVER_OUTRO_30_TEXT	Oh.
$LINE_RIVER_OUTRO_40_CHAR	$BER
$LINE_RIVER_OUTRO_40_TEXT	Was ist nun der Plan?
$LINE_RIVER_OUTRO_50_CHAR	$MCG
$LINE_RIVER_OUTRO_50_TEXT	Also, der seltsame alte Mann hat gesagt, wir sollten ihn <LQ>am Kloster<RQ> aufsuchen...
$LINE_RIVER_OUTRO_60_CHAR	$BER
$LINE_RIVER_OUTRO_60_TEXT	Ah, er muss das Selini-Gebetshaus am Norden der Grube meinen.
$LINE_RIVER_OUTRO_70_CHAR	$MCG
$LINE_RIVER_OUTRO_70_TEXT	Es gibt Mönche des Ash-Tempels in dieser ... Seuchenkolonie?
$LINE_RIVER_OUTRO_80_CHAR	$BER
$LINE_RIVER_OUTRO_80_TEXT	Gibt es einen besseren Ort für ein Krankenhaus? Komm mit, ich zeig dir den Weg.
